,utterance,find_train,book_train,NONE
4672,Doesn't matter where in Cambridge.,1,0,0
4673,"Perfect! what's the phone number, postcode, and address for that place?",0,0,1
4674,"Yes, I need a train to Ely from Cambridge on Sunday, leaving at 11:30.",1,0,0
4675,Is this train going to Ely or departing Ely? I believe I made a mistake is saying going to Ely when I should be departing Ely arriving in Cambridge.,1,0,0
4676,"Alright, all I need the travel time and that should be all, thanks!",1,0,0
4677,am looking for a train. The train should depart from peterborough and should go to cambridge.,1,0,0
4678,I am looking for a cheap restaurant on the north side of town.,0,0,1
4679,"Let's try the da vinci pizzeria. I'll need the address and phone number too, please.",0,0,1
4680,"Great, thanks for all of your help!",0,0,1
4681,Can you help me find a train?,1,0,0
4682,I'll be leaving from cambridge and going to broxbourne.,1,0,0
4683,"On Monday, and I need to arrive by 12:15",1,0,0
4684,"I don't need to book at this time, but can I get the travel time for that route?",1,0,0
4685,Are there any cinemas in the centre of town?,0,0,1
4686,I am looking for a place to dine,0,0,1
4687,Expensive is what I am looking for. I don't have a preference for the exact type of food.,0,0,1
4688,That sounds great. Can I get their phone number?,0,0,1
4689,"looking for a train, The train should arrive by 15:45 and should leave on saturday. The train should go to cambridge and should depart from ely",1,0,0
4690,Yes please book it foe me thank you,0,1,0
4691,No that's all! Thank you very much!,0,0,1
4692,I'm looking for a train to broxbourne.,1,0,0
4693,I'm going to be leaving from Cambridge. I need to leave on Tuesday by 13:00.,1,0,0
4694,I don't have an arrival preference.,1,0,0
4695,"Actually, I'd like to arrive by 13:00. Could you give me the train ID for the train arriving closest to that time?",1,0,0
4696,No thanks. I'd just like to know the travel time please.,1,0,0
4697,I need to find a expensive hotel in the north.,0,0,1
4698,ok how about a guesthouse in the north that is expensive with free parking.,0,0,1
4699,Sure let's try a moderate price range.,0,0,1
4700,"Can you give me the hotel, phone number, and postcode?",0,0,1
4701,All set. Thanks a lot.,0,0,1
4702,I'm looking information about a train in Cambridge. Needs to arrive by 21:00 and leave on Tuesday.,1,0,0
4703,I will be going from Ely to Cambridge.,1,0,0
4704,Not just yet. Can I get the cost and departure time?,1,0,0
4705,Yes. I am also looking for a 3 star hotel in the north.,1,0,0
4706,"No, I don't need train tickets right now.",1,0,0
4707,Is it a guesthouse? I don't want to stay at a hotel.,0,0,1
4708,I am looking to get a train to cambridge from kings lynn,1,0,0
4709,depart from kings lynn at 20:30 and leave on Sunday.,1,0,0
4710,My mistake I need the train to arrive by 02:30 on Sunday.,1,0,0
4711,"Not doing well, I actually need to arrive cambridge at 20:30. I should leave on sunday.",1,0,0
4712,Could you tell me the price of this ticket?,1,0,0
4713,OK. Is there a hotel in town called the Hotel Gonville or Gonville Hotel or something like that?,0,0,1
4714,No thanks. But can I please get the postcode?,0,0,1
4715,That's it. Thanks!,0,0,1
4716,I'm looking for a train that is going to birmingham new street and leaves after 17:15.,1,0,0
4717,I will be traveling on Friday.,1,0,0
4718,I will be leaving from Cambridge. I will need 4 seats.,0,1,0
4719,I also need to get a place to stay that is in the moderate price range and have 3 stars.,0,0,1
4720,West part of town. Thanks,0,0,1
4721,"i am looking for a place to stay, a hotel maybe, that has free wifi and should be a 4-star",0,0,1
4722,"I'm looking for a cheap one, which hotels fit into that price range?",0,0,1
4723,What type of hotel is it and what is the postcode?,0,0,1
4724,"Maybe, I'll decide once I get there. Speaking of which, can you help me with a train to Cambridge?",1,0,0
4725,I'd like to leave after 10:30 and depart from birmingham new street on Tuesday.,1,0,0
4726,"Yes, actually I'd like to book 7 seats on it.",0,1,0
4727,I believe that will do it. Thanks for your help!,0,0,1
4728,While in Cambridge I am looking for a college in the centre of town please.,1,0,0
4729,No I don't have a preference.,0,0,1
4730,I am also looking for a train that departs from cambridge. I'd like it to arrive by 18:15.,1,0,0
4731,Yes. I would like the train to depart from Cambridge and arrive by 18:15.,1,0,0
4732,saint andrew street,1,0,0
4733,"Yes, I need a train from cambridge to bishops stortford on Tuesday. I need to arrive by 18:15.",1,0,0
4734,That should work thank you very much,1,0,0
4735,Can I get tickets for 5 people?,0,1,0
4736,"No, that will be all. Thank you!",0,0,1
4737,"Hello! My friends told me about a hotel called Alexander Bed and Breakfast. Can you get me some information about it, please?",0,0,1
4738,do they have internet? how many stars does it have? and whats its postcode?,0,0,1
4739,Great! I will also need a train. I need to leave on Saturday and depart from Cambridge.,1,0,0
4740,Going to london kings cross. I want to leave after 10:15.,1,0,0
4741,"No thank you. I would like the travel time and price information if you can provide it, however.",1,0,0
4742,I believe that will be everything.,1,0,0
4743,Thank you. You have been very helpful.,0,0,1
4744,I'm looking for a college to visit in the centre of cambridge.,1,0,0
4745,Yes that would be great can you give me the postcode entrance for you and address to it?,0,0,1
4746,Thank you. I also need to find a train leaving on Monday.,1,0,0
4747,I'm departing from london liverpool street to cambridge.,1,0,0
4748,I'd like to leave after 08:45. Which train leaves closest to that time?,1,0,0
4749,"Oh, no need to book it for me. But yes, that train will do just fine. Thank you for your help, that was all I needed.",1,0,0
4750,"I'm looking for attractions to go in the centre of Cambridge, please.",1,0,0
4751,I don't really know. What do you suggest in the city center?,0,0,1
4752,Sounds good. What is their entrance fee?,0,0,1
4753,"Great. What is All Saint's Church's address and postcode, please?",0,0,1
4754,"Thanks. I am also looking for a train from Cambridge to Norwich, could you help me find one?",1,0,0
4755,I would like to leave on Monday.,1,0,0
4756,09:15 and should depart from cambridge,1,0,0
4757,"Actually, I need to arrive by 09:15. Is there anything early morning on Monday from Cambridge to Norwich?",1,0,0
4758,"Yeah, what's the price and departure time on TR5773?",1,0,0
4759,That's all I needed. Thank you for your help,0,0,1
4760,"Hi, I am looking for a guesthouse to stay on the north side of Cambridge.",1,0,0
4761,"4 stars, please, but still just moderately priced.",1,0,0
4762,One with free parking would be great!,0,0,1
4763,Great can I get the address of one and whether or not they have free parking?,0,0,1
4764,Thank you. Can you tell me if there is a train going to Norwich on Friday?,1,0,0
4765,"Yes, after 19:45 and departing from cambridge please.",1,0,0
4766,"Yes, I think that will work. Can you tell me the price, travel time and confirm the arrival time please?",1,0,0
4767,"Okay, thank you for your help!",0,0,1
4768,"Nope, that's everything. You've been very helpful.",0,0,1
4769,I am looking for a place to stay that is in the expensive price range and has free parking.,1,0,0
4770,I would like a guesthouse in the south in the expensive price range.,1,0,0
4771,Is there one in the cheap price range?,1,0,0
4772,Can I have the address? Also do they offer internet?,0,0,1
4773,No thank you. I am also looking for a train though going from Cambridge to Kings Lynn.,1,0,0
4774,"I'm leaving on Thursday, but to clarify, I want to DEPART from Kings Lynn and ARRIVE in Cambridge.",1,0,0
4775,"I will be travelling on Thursday, and I'd like to arrive by 21:30.",1,0,0
4776,How much does it cost?,1,0,0
4777,"Yes, please book that for me.",0,1,0
4778,Thank you very much for helping me today!,0,0,1
4779,Can you help me find a moderately priced hotel?,0,0,1
4780,We would like a hotel and free wifi too.,0,0,1
4781,Does Ashley Hotel have a 0 rating? That's what I'm interested in.,0,0,1
4782,"Could you give me the postcode, address, and number for cityroomz?",0,0,1
4783,I also need a train for monday.,1,0,0
4784,From Norwich to Cambridge.,1,0,0
4785,I need to arrive by 13:15 please.,1,0,0
4786,I don't have a preference for leaving. Could you book it for 8 people and provide the reference number.,0,1,0
4787,Thanks very much for your help. That's all we needed today!,0,0,1
4788,I need a list of cheap places to stay that include free parking.,0,0,1
4789,"Okay, does that place include free wifi and it is 4 stars?",0,0,1
4790,I will be staying 5 nights starting from Saturday.,0,0,1
4791,"Yes, can you book it for 6 people?",0,0,1
4792,Thank you. I also need a train to Kings Lynn that leaves on Sunday.,1,0,0
4793,I want the train to leave after 16:30.,1,0,0
4794,"I need 6 tickets, please.",0,1,0
4795,"No, that will be all. Thank you!",0,0,1
4796,"I need a train to Norwich, leaving after 21:30.",1,0,0
4797,I am leaving on Thursday.,1,0,0
4798,I'll be leaving from Cambridge,1,0,0
4799,What would be the arrival time of that train?,1,0,0
4800,What is the total travel time for this trip?,1,0,0
4801,Yes if you could book it that would be great.,1,0,0
4802,I don't need any reservations today just information.,0,0,1
4803,i am also looking for a guest house called a and b guest house.,0,0,1
4804,I just need the address.,0,0,1
4805,"Great, thanks so much!",0,0,1
4806,"No, that is all I need today. Thank you.",0,0,1
4807,I need a train that leaves on Friday after 20:45.,1,0,0
4808,The train should depart from cambridge and should go to london liverpool street,1,0,0
4809,Sounds great! Thank you very much! What is the price on that train?,1,0,0
4810,Sure. I also need a reservation at rosa's bed and breakfast.,0,1,0
4811,What is their address and do they have free parking or free internet?,0,0,1
4812,Could I get the address please?,0,0,1
4813,I think that's all I need. Thank you very much.,0,0,1
4814,I want to find a restaurant serving gastropub food in the centre of town.,0,0,1
4815,"Moderately priced, please.",0,0,1
4816,"That sounds great! Could you book me a table for 8 people at 14:45 on Tuesday, please?",0,0,1
4817,How about at 13:45 for 8 people on Tuesday?,0,0,1
4818,I'm also looking for a train to Birmingham New Street leaving after 13:15.,1,0,0
4819,"Oh yes, of course, I'm leaving from Cambridge on Wednesday.",1,0,0
4820,"Yes, book the 14:01 for the same group of people. I'll need a reference number, please.",0,1,0
4821,Thank you very much for you help. Have a great day.,0,0,1
4822,I need assistance finding a train departing from Cambridge and arriving at London Kings Cross.,1,0,0
4823,I'm leaving after 15:15 on Tuesday. What's available then?,1,0,0
4824,It doesn't matter.,1,0,0
4825,Yes please. Could you also tell me how much it is & what time it arrives?,0,1,0
4826,I am also looking for a particular attraction. The name of the place is Lynne Strover Gallery. Can you give me the address and fee?,0,0,1
4827,May I have the postal code for the Gallery as well please?,0,0,1
4828,"No, that's all I needed. Have a nice day.",0,0,1
4829,Are there any guesthouses in the north area of town?,0,0,1
4830,Yes I am looking for something in the expensive price range.,0,0,1
4831,"Yes, what about guesthouse in the moderate price range?",0,0,1
4832,"I'd like some details on the Acorn Guest House please. What's the address, postcode, and phone number?",0,0,1
4833,I am also looking for a train that leaves on Thursday from Cambridge.,1,0,0
4834,I am headed to Leicester and it should leave after 13:45.,1,0,0
4835,"Yes, I'll need 6 tickets. When you book it can you get me a reference number?",0,1,0
4836,"No, thank you. That is all at this time.",0,0,1
4837,Hello. I need a train leaving from London Kings Cross on Thursday. What's available?,1,0,0
4838,I am looking to go to cambridge and arrive by 9:45,1,0,0
4839,What's the price?,1,0,0
4840,"No, no booking is necessary. But thanks for the info. Thats all I needed.",0,0,1
4841,I need a train that leaves on friday and leaves after 10am,1,0,0
4842,Possibly. Does it arrive in Cambridge from Kings Lynn?,1,0,0
4843,"Yes, I need to book it for 8 people and I need the reference number.",0,1,0
4844,"Yes, I'm looking for somewhere to go in the center of town. Something that involves multiple sports. Do you know of anything?",0,0,1
4845,"Yes, how about a swimming pool?",0,0,1
4846,"Yes, I need the postcode and address, please.",0,0,1
4847,"That is all, thank you. Bye",0,0,1
4848,"Hi, I would like to find a place to stay in Cambridge with free wifi.",1,0,0
4849,In the moderate price range please. Oh and it needs to be a guesthouse.,0,0,1
4850,"The area doesn't matter, but I need to know if they have free parking.",0,0,1
4851,I'm looking for a place to stay- a guesthouse. It needs to be in the moderate price range and needs to have free wifi.,0,0,1
4852,Could you tell me what area it is in and whether it has free parking?,0,0,1
4853,I also need a train for Friday departing from Ely to Cambridge for 5 people and arriving by 16:30. Can you book this and get a reference number for me?,0,1,0
4854,Great thank you for your help today.,0,0,1
4855,Can you tell me if the restaurant Eraina is in Cambridge? Thank you.,1,0,0
4856,Excellent. Where is it?,0,0,1
4857,Great! Any chance I could get a table for 7 there at 14:30 on Wednesday? I'll need the reference number once you make the reservation.,0,0,1
4858,"Okay great. I am also looking for a train leaving anytime after 17:15 going to Bishops Stortford on Thursday, can you book that for me please?",1,0,0
4859,I'll go with the 17:29. What is the train ID and price?,1,0,0
4860,Thank you. I'll take it.,1,0,0
4861,Actually I don't need any tickets today. I'm all set here. Thank you for your help.,0,0,1
4862,I am traveling to the centre area of cambridge and am looking for something to do. Can you recommend places to go.,1,0,0
4863,Can I have the postcode and phone number?,0,0,1
4864,"Great, thanks. Can you also help me find a train?",1,0,0
4865,"I would like to leave on Sunday after 12:30, on the train departing from Cambridge and arrive in Kings Lynn.",1,0,0
4866,"I don't need to book, but can you tell me the train ID, arrival time, and total travel time?",1,0,0
4867,That's all I need!,0,0,1
4868,"I need a hotel with free wifi. I'm broke, though, so find me a 0-star hole in the wall.",0,0,1
4869,I would prefer a guest house if any 0 stars are available.,0,0,1
4870,I would like a guesthouse in the north please. Can you check if it has free parking?,0,0,1
4871,Not right now. Thank you. I am also looking for a train that leaves on Monday and arrives by 1830.,1,0,0
4872,"Leaving Cambridge and headed to Stevenage, please.",1,0,0
4873,Yes. The 17:21 would be perfect. Please book it for 4 people.,0,1,0
4874,"No, that's all I needed. Thank you.",0,0,1
4875,"Hello, we are looking for information about lodgings in Cambridge. Price is no option and we would like a very nice hotel.",1,0,0
4876,As long as its insanely expensive and has free parking. Centre located please.,0,0,1
4877,I want to book it for 5 people for 2 nights starting on thursday.,0,0,1
4878,Thank you! I'm also looking for a train departing from cambridge that leaves on saturday.,1,0,0
4879,"I'm heading to Broxbourne, and I need to arrive by 11:15.",1,0,0
4880,"I am not sure how many yet. For now, I need the departure time and the length of travel time for TR0823.",1,0,0
4881,"Ok, that's all I need for now. Thanks, bye.",0,0,1
4882,I'm looking for something to go to in Cambridge.,0,0,1
4883,It doesn't matter. I'm looking for a nice museum.,1,0,0
4884,"Yes, please. May I also have the postcode and the area of town?",0,0,1
4885,"Thank you, I'm also looking for an expensive restaurant that serves European food.",0,0,1
4886,NO preference but lets try one in the center area since the museum is there.,0,0,1
4887,Please get me a table for six at Erania for 15:30 on Wednesday.,0,0,1
4888,"Yes, I'll be needed a taxi from the museum to the restaurant to get there in time for the reservation.",0,0,1
4889,A Black Toyota Taxi?,0,0,1
4890,"No, I have everything I need for today. Thank you.",0,0,1
4891,I'm looking for a place to stay that is moderately priced and includes free parking.,0,0,1
4892,I would like to stay in the centre of town. A guest house is fine.,0,0,1
4893,"Yes, how about the north?",0,0,1
4894,Great. can you recommend one and book it for 3 nights coming in on friday. There will be 2 in my party,0,0,1
4895,Yes. I want to go from Cambridge to Peterborough by train.,1,0,0
4896,I will travel Saturday after 17:45,1,0,0
4897,"Yes, please book the tickets and I need the reference number.",1,0,0
4898,I will need 2 tickets please.,0,1,0
4899,Can I get the train ID and departure time for the one you chose?,0,1,0
4900,"No thanks, that is all.",0,0,1
4901,I would like to go to a museum.,0,0,1
4902,"No, just the one you like. I will need the address and phone number.",0,0,1
4903,I am also looking for a train that should leave on sunday and go to london kings cross.,1,0,0
4904,The train should depart from cambridge and should leave after 13:00,1,0,0
4905,is there anything that leaves closer to 13:00??,1,0,0
4906,How much does train TR9386 cost as I would prefer that one?,1,0,0
4907,"No, that will be it! Thank you!",0,0,1
4908,Hi. Please help me find a 4 star hotel to stay at.,0,0,1
4909,"Yes, but I just want to make sure that it includes free parking and is in moderate price range.",0,0,1
4910,Yes. Please book for 6 people for 2 nights starting Wednesday.,0,0,1
4911,"Thanks for settling the lodging. I also need a train to go to stansted airport which arrives by 12:00, please.",1,0,0
4912,I'll be leaving from Cambridge on Friday.,1,0,0
4913,"Yes, please choose the first option and book it for 6 people. And do remember to give me the reference number for the reservation",0,1,0
4914,"Great, that is all I need. Thank you.",0,0,1
4915,I am looking for information in Cambridge,1,0,0
4916,I need help finding a place to stay.,0,0,1
4917,"Actually, can we look for a train first? I need to be in Cambridge by 15:15 on Saturday.",1,0,0
4918,I am leaving from Ely.,1,0,0
4919,"No, could you just give me the price and the departure time please?",1,0,0
4920,I also need a hotel room.,0,0,1
4921,"I don't care about the price. I just need it to be in the North part of town, and have a 4-star rating, please.",1,0,0
4922,I do not want a guesthouse.,0,0,1
4923,Is there a 3-star hotel or guesthouse in the north? The hotel doesn't need to include internet.,0,0,1
4924,Lets go with a guesthouse than,0,0,1
4925,4 star please,0,0,1
4926,"No, whichever you choose will be fine. I'll just need it booked for 4 people, 4 nights, and starting on Saturday.",1,0,0
4927,"Great, thank you!",0,0,1
4928,"No, that's all. Thanks.",0,0,1
4929,I am looking for a train departing from Bishops Stortford.,1,0,0
4930,I am looking to go to cambridge on thursday.,1,0,0
4931,"I need to leave on Thursday and get there by 9:15, is that OK?",1,0,0
4932,"I'd like the later one, please. I'll need 8 tickets.",0,1,0
4933,Okay great! Thanks for all your help.,0,0,1
4934,Looking for a train that leaves on saturday,1,0,0
4935,"Leaving Birmignham New Street, to Cambridge.",1,0,0
4936,I would need to leave after 08:30.,1,0,0
4937,"Not yet.. just needed the ID. Also, looking for a place to dine in the center of town at a moderate price range.",1,0,0
4938,That works for me. Book it for 3 people at 21:00 on the same day.,0,0,1
4939,"Oh, bummer. How about 20:00?",0,0,1
4940,Thank you. That is all.,0,0,1
4941,I would like to take a train from Cambridge to Leicester.,1,0,0
4942,"This Thursday, and I would like to arrive by 14:00.",1,0,0
4943,"Yes, please make a booking for 4 people.",0,1,0
4944,I need a restaurant in centre and in the expensive prince range,0,0,1
4945,"I don't have a preference, I just want to book a table for 4 at 11:15 on Thursday, anywhere is fine.",0,1,0
4946,Great. Please go ahead and book it.,0,0,1
4947,Thanks so much. Good bye!,0,0,1
4948,Can you tell me about Christ's College?,0,0,1
4949,Do you happen to have the telephone number for Christ's College?,0,0,1
4950,I also need a train leaving from bishops stortford to cambridge.,1,0,0
4951,I need to leave on Friday some time after 21:30.,1,0,0
4952,"Yes, that would be great.",0,1,0
4953,"Thank you very much, I've got what I need.",0,0,1
4954,looking for a train. The train should arrive by 09:45 and should depart from cambridge.,1,0,0
4955,i need to go to norwich.,1,0,0
4956,That sounds great! Thanks for all of your help!,0,0,1
4957,I am looking for somewhere to go in the south.,0,0,1
4958,Can I get post codes?,0,0,1
4959,Can you help me find a train from ely to cambridge?,1,0,0
4960,"Yes I'm leaving on Saturday and not too early, sometime after 10:15.",1,0,0
4961,"That will work. May I get the price, travel time, and train ID for that please?",1,0,0
4962,No thank you. You've been very helpful today.,0,0,1
4963,"Hello, I'm looking for the Jesus Green Outdoor Pool, could you help me with more information?",0,0,1
4964,That's great. Is there an entrance fee?,0,0,1
4965,I am also looking for a train to take me from Cambridge to Ely.,1,0,0
4966,"Yes I need to travel on Friday, but I can't leave until after 13:30.",1,0,0
4967,Whatever the first train is that leaves after 13:30.,1,0,0
4968,That will work great. Can you book me 6 tickets please?,0,1,0
4969,No. I think that's all I need. Have a good day. Bye.,0,0,1
4970,"I'm looking for a hotel in the east, and it doesn't need to include internet.",0,0,1
4971,It doesn't matter,0,0,1
4972,A guesthouse please. I'd like wifi also.,0,0,1
4973,Can you suggest one?,0,0,1
4974,"No, that's all the info I need. Can you book some rooms for me?",0,0,1
4975,"Please book for 7 people, 4 nights and starting on Saturday.",0,0,1
4976,I'm also looking for a train. The train should leave on wednesday and should depart from cambridge.,1,0,0
4977,I'm headed to Bishops Stortford. I'd like to leave Cambridge after 9:45.,1,0,0
4978,that is fine. book for 7 people please,0,1,0
4979,"no that will be all thanks for everything, you have been great!",0,0,1
4980,I need an expensive restaurant in the west of town.,0,0,1
4981,Really interested in bistro type food if possible.,0,0,1
4982,How about one that serves indian food?,0,0,1
4983,"Yes, please. I'd like a table for 7 on Wednesday at 11:15. And I'll need the reference number.",1,0,0
4984,Can you also help me with a train? I'm looking for one to Cambridge arriving by 8:45.,1,0,0
4985,I need a train that departs from kings lynn going to cambridge by 08:45.,1,0,0
4986,"No, no need to book it for me. That will do, thank you.",0,0,1
4987,"Could you confirm the departure time, travel time and price of that train please?",1,0,0
4988,Thank you - that's all I need right now. Have a great day!,0,0,1
4989,Please find me a place in the South that serves Chinese food,0,0,1
4990,"Yes, I would like the one in the cheap price range.",0,0,1
4991,Sounds good. What is the address and phone number?,0,0,1
4992,I need to take a train that arrives by 15:00 on sunday.,1,0,0
4993,I am leaving from Cambridge.,1,0,0
4994,I need to get to Leicester.,1,0,0
4995,YEs can you book that for me please?,1,0,0
4996,I actually just need the departure time please.,1,0,0
4997,"No, thank you very much.",0,0,1
4998,Okay. Well goodbye then.,0,0,1
4999,I am looking for a train to Petersborough.,1,0,0
5000,"No, I need a train from Cambridge to petersborough on Thursday.",1,0,0
5001,I just need to leave by 08:30.,1,0,0
5002,Yes that would be fine please book for 6 people.,0,1,0
5003,Thank you that is all I needed today.,0,0,1
5004,Can you help me find a college located in the centre. I seemed to have misplaced the information on it.,0,0,1
5005,I do not. Could I have the addresses for all of them and the entrance fees?,0,0,1
5006,That sounds fantastic. Could I get the address?,0,0,1
5007,"Yes, I am also looking for a train that leaves Stansted Airport on Friday and arrives in Cambridge by 21:00.",1,0,0
5008,I'll take whatever the last train is that will get me there before 21:00. If you can just give me the train ID please. Thanks.,1,0,0
5009,Great! Thank you so much for your help.,0,0,1
5010,No thanks. That will be all. Goodbye.,0,0,1
5011,I want to get a train out of Cambridge that departs after 20:45 please.,1,0,0
5012,I wish to go to New York City leaving this Friday.,1,0,0
5013,Ok. How about a train to the Stansted airport?,1,0,0
5014,I would like to book the 21:40 train on Wednesday for one person please. I also need a reference number please.,0,1,0
5015,"Yes, I am also looking to eat some north african food. Can you help me find a restaurant?",0,0,1
5016,How about Thai food?,0,0,1
5017,The one in the west works please. Can you pleas book it for me on the same day at about 13:15.,0,0,1
5018,I'll be dining alone.,0,0,1
5019,Could you please check for a table at 12:15 and can I have the reference number?,0,0,1
5020,"No, that should be everything. Thank you very much!",0,0,1
5021,I'm looking for a train departing from ely.,1,0,0
5022,"I'd like to travel to Cambridge on Wednesday, but I don't want to leave before noon.",1,0,0
5023,"That should work. I need booking for 2 people and I will need the reference number, please.",0,1,0
5024,Wonderful. Thank you.,0,0,1
5025,"Thanks, that's all. Good bye.",0,0,1
5026,"Hello, have you heard of the Royal Spice Restaurant by chance?",0,0,1
5027,Can you book it for 4 people at 13:15 on wednesday?,1,0,0
5028,"Thanks so much. Could you also help me find a train, for that same day?",1,0,0
5029,The same day as the restaurant booking I am going to cambridge and need to arrive there by 09:30.,1,0,0
5030,I would like to leave from Stevenage,1,0,0
5031,yes that sounds great. Can I get a reference number for that please,1,0,0
5032,I would like you to book me four tickets.,0,1,0
5033,I think you took care of everything. Thanks. Take care now. Bye bye.,0,0,1
5034,Can you tell me the address to the police station in Cambridge?,1,0,0
5035,Thanks. Would you be able to help me find a place to stay in the east side of town?,0,0,1
5036,"That doesn't matter. I would like a 4 star hotel though, please.",0,0,1
5037,Does that place have free wifi?,0,0,1
5038,"That is sufficient, please book me for 8 people, 5 nights staring on friday.",0,0,1
5039,Also looking for a train leaving Norwich after 14:00 and arriving in Cambridge on Friday.,1,0,0
5040,Can you please give me the travel time.,1,0,0
5041,"no I don't need you to do that, thank you",0,0,1
5042,That is all. Thank you!,0,0,1
5043,Can you tell me about any Modern European places in the expensive range?,0,0,1
5044,i'd rather have some place in the south,0,0,1
5045,"suggest any and find me their address, postcode and phone number",0,0,1
5046,I also need a train for Sunday that leaves after 17:00.,1,0,0
5047,I would like to leave after 17:00,1,0,0
5048,"That's perfect, thanks. I have everything I need for today.",0,0,1
5049,I am looking for information in Cambridge,1,0,0
5050,I am looking for a guesthouse in the north. I would like it to be expensive and include free wifi.,0,0,1
5051,What about one in the moderate price range?,0,0,1
5052,Yes I do need the free wifi.,0,0,1
5053,"Yes, that would be good. Can you just let me know the star rating of the hotel, whether they have free parking, and address? Thanks",0,0,1
5054,I also need to find a train for Friday going to Cambridge from Norwich and leaving after 15:15.,1,0,0
5055,No need to book the tickets I just needed the info. Thats all I needed thanks,0,0,1
5056,"No, that will be all. Thank you!",0,0,1
5057,Hello! I'm just planning my trip to Cambridge and need train schedules.,1,0,0
5058,"depart from birmingham new street ,I want to leave on Friday and arrive by 14:30",1,0,0
5059,Book it for myself.,1,0,0
5060,I'm sorry. Yes. Please book the train on Friday arriving by 14:30 for one person.,0,1,0
5061,"I'm looking for a hotel to stay in the north, specifically, a guesthouse.",0,0,1
5062,Sure! Does it include free parking? If so I am looking for a reservation for 1 starting friday for 3 nights.,0,1,0
5063,"That is all I need, thank you. Bye.",0,0,1
5064,"I am looking for directions to Jinling Noodle Bar, can you help me?",0,0,1
5065,"No, but I need to book a table for 6 people at 12:30 on sunday.",1,0,0
5066,"Thank you, I also want to book a train for the the same day, departing from Birmingham new street.",0,1,0
5067,"Thank you. I also want to book a train for the same day, departing from Birmingham New Street and arriving in Cambridge by 9:30.",0,1,0
5068,The 9:23 arrival is perfect timing! I need it for the same 6 people. Can I please get the reference number for that booking also?,0,1,0
5069,I think that's all I need. Thank you!,0,0,1
5070,"Yes, hi. I am looking for a train to get me out of Cambridge to someplace fun. Can you help me with that?",1,0,0
5071,"Yes, I would like to go to Peterborough. I want to travel on Friday and get there by 21:30.",1,0,0
5072,Can you locate a train departing from Cambridge on Friday? Thanks!,1,0,0
5073,"Yes, I'd like to go to peterborough and should leave afer 20:00.",1,0,0
5074,That would be great. Can you book 5 seats for me please? What is the reference number. Thank you.,0,1,0
5075,I am also looking for a cinema in the centre.,0,0,1
5076,Could you give me the entrance fee and phone number?,0,0,1
5077,Great that was all I needed thanks for your help today.,0,0,1
5078,I'd like to find a train leaving on Friday to Cambridge.,1,0,0
5079,"I will leave from Birmingham new street, and arrive by 13:15 if possible.",1,0,0
5080,"Yes please, book 4 tickets for me.",0,1,0
5081,Thank you very much. It looks like i am all set. Have a nice day.,0,0,1
5082,"Hi, I'm looking for a moderate restaurant in the centre. What would you recommend?",0,0,1
5083,Lets go with Asian. Can you book a table for 7 at 12:00 on Wednesday?,1,0,0
5084,Thank you but I also need a train that is going to leicester and should depart from cambridge,1,0,0
5085,I will be traveling on Thursday and I need the train to arrive by 12:00.,1,0,0
5086,Yes please give me the reference number,1,0,0
5087,"Actually, I won't need you to book tickets. But can I please get the price and travel time for TR1755?",1,0,0
5088,ok that would work go ahead and book that,1,0,0
5089,"Just for myself, please.",0,1,0
5090,"Oops, I actually didn't want tickets just yet, but I guess I'm stuck with them! Thanks for your help anyway, totally my fault.",0,0,1
5091,Can you help me find a very cheap restaurant in the north?,0,0,1
5092,Lets go with the italian restaurant!,0,0,1
5093,Sounds great. Book me there for 12:45 on sunday for 5 people.,0,0,1
5094,What other options are there for Italian food? Maybe I could go for a moderate price or.,1,0,0
5095,Can you find me a cheap Italian restaurant in the north part of town any one is fine and book it for 5 people at 12:45 on sunday?,0,0,1
5096,I'm also looking for a train that departs from cambridge and is leaving on monday.,1,0,0
5097,I need to get to Ely by 17:30.,1,0,0
5098,What is the price for TR9310?,1,0,0
5099,"No, thanks, I'll just take care of it at the station. You've been a big help.",0,0,1
5100,No. Thanks for all of your help though.,0,0,1
5101,Thank you for contacting us.,0,0,1
5102,"Hey, when I was a kid my parents took me to a place called the cow pizza kitchen and bar. Is it still around?",0,0,1
5103,I need to book a table for 5 at 16:45 on wednesday.,0,0,1
5104,"Excellent, thank you for the assistance!",0,0,1
5105,I was also wanting to get some help finding a train to get me to London Kings Cross.,1,0,0
5106,i want to leave on monday and arrive by 8,1,0,0
5107,I would like to leave on Monday.,1,0,0
5108,Can you tell me the price?,1,0,0
5109,"That was all I needed to know. Thank you, goodbye.",0,0,1
5110,I need a train leaving broxbourne on wednesday. Can you book it for me?,1,0,0
5111,I need to arrive in Cambridge by 11:45.,1,0,0
5112,"yeah, what's the price of the tickets?",1,0,0
5113,"Yes, please. I'm also looking for a hotel that's cheap and in the north.",0,0,1
5114,I'm hoping to book a train from bishops stortford to cambridge. Please list all times for that route.,1,0,0
5115,I need to leave Wednesday and arrive after 11:15.,1,0,0
5116,I would like to leave after 11:15.,1,0,0
5117,"no, i want that day and time please",1,0,0
5118,"Well, I need to know the arrival time first.",1,0,0
5119,"Yeah, that works. Can you recommend a 0 star hotel for me?",1,0,0
5120,I'm looking for somewhere to go in the West of town,0,0,1
5121,Great! I'd like to visit a pool. Can you give me the address please?,0,0,1
